Reference; Quantity; Footprint; Value; Description; Power; Size; Tolerance; Voltage; Type; Current; 
C301 C306 C312 ;3;CAP-TH-D8mmP3.5mm;220u;'Aluminium electrolytic low impedance capacitor - eg Panasonic FC or FR parts;';'3.5mm Pitch, 8mm Diameter;';'25V;';';
C302 C307 C308 C315 ;4;SMD-0805;22u;'Ceramic capacitor;';'0805;'20%;'25V;'X5R;';
C303 C310 C311 C316 C321 C324 C328 C404 C422 C426 C428 C430 C434 C436 C439 C441 C446 C450 C460 ;19;SMD-0805;100n;'Ceramic capacitor;';'0805;'10%;'50V;'X7R;';
C305 C313 C314 C318 C322 C326 C329 C447 C451 ;9;SMD-0805;10n;'Ceramic capacitor;';'0805;'10%;'50V;'X7R;';
C304 C309 C401 C419 C437 ;5;SMD-0805;100p;'Ceramic capacitor;';'0805;'5%;'50V;'C0G;';
C325 C402 C418 C421 C424 C438 ;6;CAP-TH-D6.3mmP2.5mm;220u;'Aluminium electrolytic low impedance capacitor - eg Panasonic FC or FR parts;';'2.5mm Pitch, 6.3mm Diameter;';'10V;';';
C317 C320 C323 C327 C403 C416 C420 C423 C427 C440 ;10;SMD-0805;22u;'Ceramic capacitor;';'0805;'20%;'10V;'X5R;';
C405 C408 C412 C429 C432 C452 C454 C456 C458 ;9;SMD-0603;1u;'Ceramic capacitor;';'0603;'10%;'10V;'X7R;';
C406 C409 C414 C417 C431 C433 C453 C455 C457 C459 ;10;SMD-0603;100n;'Ceramic capacitor;';'0603;'10%;'50V;'X7R;';
C407 C410 C415 ;3;SMD-0603;10n;'Ceramic capacitor;';'0603;'10%;'50V;'X7R;';
C411 ;1;SMD-0603;5n6;'Ceramic capacitor;';'0603;'10%;'50V;'X7R;';
C413 ;1;SMD-0603;390p;'Ceramic capacitor;';'0603;'5%;'50V;'C0G;';
C425 C461 ;2;SMD-0805;10u;'Ceramic capacitor;';'0805;'20%;'10V;'X5R;';
C435 ;1;SMD-0805;N/F;'Ceramic capacitor;';'0805;'10%;'50V;'X7R;';
C442 C444 C445 C448 ;4;SMD-0603;470n;'Ceramic capacitor;';'0603;'10%;'10V;'X7R;';
C443 C449 ;2;CAP-TH-D6.3mmP2.5mm;47u;'Aluminium electrolytic low impedance capacitor - eg Panasonic FC or FR parts;';'2.5mm Pitch, 6.3mm Diameter;';'10V;';';
C501 C502 C503 C504 C505 C506 C507 C508 C509 C510 C511 C512 C513 C514 C515 C516 ;16;SMD-0805;2n7;'Ceramic capacitor;';'0805;'5%;'50V;'C0G;';
D301 D302 D303 D304 D306 D307 D308 D310 ;8;DIODE-SOD-123;SS14L;'SS14L 1A 40V Schottky rectifier - Sub-SMA (SOD-123);';';';';';';
D305 ;1;DIODE-SOD-123;B130LAW-7-F;'1A 30V Schottky Rectifier - SOD-123 - Low Vf (<0.3V@100mA);';';';';';';
D309 ;1;SMD-1206;Green LED 1206;'Green LED - SMD - Vf 1.8V to 2.2V;';'1206;';';';';
FID1 FID2 FID3 FID4 ;4;FID-1MM-3MM;MNT_HOLE;'Fiducial;';';';';';';
JP401 JP402 JP403 JP404 JP405 JP406 JP407 P410 ;8;CONN_SIL_2_1MM;CONN_2x1;'1x2 2.54mm pitch pin header;';';';';';';
L301 L302 L401 L402 L403 ;5;SMD-0805;600R@100MHz;'Ferrite bead, current rating 0.3A or higher, 600R@100MHz;';'0805;';';';'=>0.3A;
MNT301 MNT302 MNT303 MNT304 ;4;MNT_HOLE_3.2mm;MNT_HOLE;
P201 P202 P203 P204 ;4;CONN_DIL_2X5_BOX_1MM;CONN_02X05;'2x5 2.54mm pitch box header;';';';';';';
P205 ;1;CONN_SIL_3_1MM;CONN_3x1;'1x3 2.54mm pitch pin header;';';';';';';
P206 ;1;CONN_DIL_2X6_BOX_1MM;CONN_02X06;'2x6 2.54mm pitch box header;';';';';';';
P303 P304 ;2;CONN-2WAY-2.54mm-3.81mm-SPACING;CONN_2x1;'2 way screw terminal, 2.54mm to 3.81mm pitch;';';';';';';
P501 P502 P503 P504 ;4;CONN_DIL_2X10_BOX_1MM;CONN_02X10;'2x10 2.54mm pitch box header;';';';';';';
R101 R102 R419 ;3;SMD-0805;1k;'Thick or thin film resistor;'100mW;'0805;'1%;';';';
R201 R202 R203 R204 R205 R206 R207 R214 R215 ;9;SMD-0805;N/F;'Thick or thin film resistor;'100mW;'0805;'1%;';';';
R208 R209 R210 R211 R212 R213 R216 R217 R218 R401 R405 R407 R409 R412 R414 R416 ;16;SMD-0805;10k;'Thick or thin film resistor;'100mW;'0805;'1%;';';';
R219 R220 R221 R222 R223 R224 R225 R227 R228 R229 R230 R231 R310 ;13;SMD-0805;0;'Thick or thin film resistor;'100mW;'0805;'1%;';';';
R226 ;1;SMD-0805;75;'Thick or thin film resistor;'100mW;'0805;'1%;';';';
R301 R302 R402 R418 R422 ;5;SMD-0805;47;'Thick or thin film resistor;'100mW;'0805;'1%;';';';
R303 ;1;SMD-0805;47k;'Thick or thin film resistor;'100mW;'0805;'1%;';';';
R309 ;1;SMD-0805;2k2;'Thick or thin film resistor;'100mW;'0805;'1%;';';';
R311 ;1;SMD-0805;6k8;'Thick or thin film resistor;'100mW;'0805;'1%;';';';
R312 ;1;SMD-0805;470;'Thick or thin film resistor;'100mW;'0805;'1%;';';';
R411 ;1;SMD-0603;562;'Thick or thin film resistor;'100mW;'0805;'1%;';';';
R420 ;1;SMD-0805;100k;'Thick or thin film resistor;'100mW;'0805;'1%;';';';
R421 ;1;SMD-0805;100;'Thick or thin film resistor;'100mW;'0805;'1%;';';';
R501 R502 R503 R504 R505 R506 R507 R508 R509 R510 R511 R512 R513 R514 R515 R516 R549 R550 R551 R552 R553 R554 R555 R556 R557 R558 R559 R560 R561 R562 R563 R564 ;32;SMD-1206;240;'MELF0204 1% =>250mW or 1206 1% =>250mW;'250mW;'1206;'1%;';';';
R517 R518 R519 R520 R521 R522 R523 R524 R525 R526 R527 R528 R529 R530 R531 R532 R565 R566 R567 R568 R569 R570 R571 R572 R573 R574 R575 R576 R577 R578 R579 R580 ;32;SMD-1206;100;'MELF0204 1% =>250mW or 1206 1% =>250mW;'250mW;'1206;'1%;';';';
R533 R534 R535 R536 R537 R538 R539 R540 R541 R542 R543 R544 R545 R546 R547 R548 R581 R582 R583 R584 R585 R586 R587 R588 R589 R590 R591 R592 R593 R594 R595 R596 ;32;SMD-1206;100k;'MELF0204 1% =>250mW or 1206 1% =>250mW;'250mW;'1206;'1%;';';';
TP101 ;1;TP-1mm;Test point;'1mm test point;';';';';';';
TP401 TP402 ;2;TP-2mm;Test point;'Test point;';';';';';';
U301 ;1;IC-SOT-223;TLV1117LV33DCY;'TLV1117LV 1-A, Positive Fixed-Voltage, Low-Dropout Regulator - Fixed 3V3;';';';';';';
U302 ;1;IC-SOT23-5;TLV70025DDC;'TLV700 200-mA, Low-IQ, Low-Dropout Regulator for Portable Devices - Fixed 2V5;';';';';';';
U303 ;1;IC-SOT223-6;TPS7A4501;'TPS7A45xx Low-Noise Fast-Transient-Response 1.5-A Low-Dropout Voltage Regulators - Adjustable;';';';';';';
U401 ;1;IC-SOT143;ADM811ZART;'Microprocessor Supervisory - 2V32 Typical Threshold;';';';';';';
U402 ;1;IC-LQFP80-P065;IC-DAC-ADAU1966;'16-Channel High Performance Differential Output, 192 kHz, 24-Bit DAC;';';';';';';